Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
371,Aleksej Pokusevski,PF,19.0,OKC,17,0,296,23,93,0.2473,10,56,0.1786,13,37,0.3514,0,0,0.0,5,55,60,21,8,19,22,16,56
372,Jordan Poole,SG,21.0,GSW,16,0,170,36,77,0.4675,18,49,0.3673,18,28,0.6429,19,20,0.95,2,19,21,14,4,3,8,14,109
373,Michael Porter Jr.,SF,22.0,DEN,26,19,744,142,283,0.5018,62,149,0.4161,80,134,0.597,34,45,0.7556,32,151,183,23,23,28,29,60,380
374,Otto Porter,SF,27.0,CHI,16,6,372,64,144,0.4444,28,70,0.4,36,74,0.4865,30,36,0.8333,20,80,100,32,9,3,15,25,186
375,Bobby Portis,C,25.0,MIL,36,2,776,166,304,0.5461,38,76,0.5,128,228,0.5614,23,33,0.697,67,188,255,37,30,15,28,70,393
376,Kristaps Porziņģis,C,25.0,DAL,20,20,602,151,322,0.4689,44,126,0.3492,107,196,0.5459,57,68,0.8382,37,130,167,27,8,31,25,59,403
377,Dwight Powell,C,29.0,DAL,23,8,346,31,67,0.4627,1,8,0.125,30,59,0.5085,43,57,0.7544,23,50,73,20,13,7,16,53,106
378,Norman Powell,SG,27.0,TOR,34,23,1006,211,432,0.4884,88,201,0.4378,123,231,0.5325,116,129,0.8992,15,87,102,59,40,5,59,73,626
379,Taurean Prince,PF,26.0,TOT,29,10,620,79,208,0.3798,39,101,0.3861,40,107,0.3738,45,53,0.8491,15,89,104,50,19,19,31,53,242
379,Taurean Prince,PF,26.0,BRK,12,4,218,30,74,0.4054,13,37,0.3514,17,37,0.4595,24,27,0.8889,2,32,34,7,8,8,11,21,97
379,Taurean Prince,PF,26.0,CLE,17,6,402,49,134,0.3657,26,64,0.4062,23,70,0.3286,21,26,0.8077,13,57,70,43,11,11,20,32,145
380,Payton Pritchard,SG,23.0,BOS,30,1,641,86,188,0.4574,41,102,0.402,45,86,0.5233,17,18,0.9444,16,54,70,69,18,5,34,59,230
381,Immanuel Quickley,PG,21.0,NYK,33,0,619,123,316,0.3892,59,155,0.3806,64,161,0.3975,98,104,0.9423,15,62,77,79,15,9,34,64,403
382,Jahmi'us Ramsey,SG,19.0,SAC,4,0,16,2,4,0.5,1,3,0.3333,1,1,1.0,0,0,0.0,0,4,4,1,0,1,1,0,5
383,Chasson Randle,PG,27.0,ORL,8,0,151,15,35,0.4286,7,23,0.3043,8,12,0.6667,5,7,0.7143,1,14,15,23,2,1,6,18,42
384,Julius Randle,PF,26.0,NYK,37,37,1358,307,636,0.4827,69,169,0.4083,238,467,0.5096,177,220,0.8045,52,357,409,205,29,9,120,115,860
385,Cam Reddish,SF,21.0,ATL,26,21,750,96,263,0.365,33,126,0.2619,63,137,0.4599,67,82,0.8171,22,82,104,35,33,9,34,68,292
386,J.J. Redick,SG,36.0,NOP,31,0,576,87,214,0.4065,51,140,0.3643,36,74,0.4865,45,47,0.9574,3,49,52,40,9,2,25,37,270
387,Paul Reed,PF,21.0,PHI,5,0,55,9,22,0.4091,0,3,0.0,9,19,0.4737,0,0,0.0,7,3,10,3,1,4,5,4,18
388,Naz Reid,C,21.0,MIN,34,13,699,158,307,0.5147,32,94,0.3404,126,213,0.5915,55,75,0.7333,39,123,162,44,21,41,38,104,403
389,Nick Richards,PF,23.0,CHO,8,0,23,3,6,0.5,0,0,0.0,3,6,0.5,5,6,0.8333,2,4,6,0,0,0,1,4,11
390,Josh Richardson,SG,27.0,DAL,25,25,788,114,267,0.427,38,132,0.2879,76,135,0.563,55,58,0.9483,22,60,82,63,23,6,37,70,321
391,Austin Rivers,SG,28.0,NYK,21,2,442,58,135,0.4296,28,77,0.3636,30,58,0.5172,10,14,0.7143,5,42,47,42,12,0,22,32,154
392,Andre Roberson,SG,29.0,BRK,5,0,63,2,14,0.1429,1,8,0.125,1,6,0.1667,1,2,0.5,7,8,15,4,3,1,2,4,6
393,Duncan Robinson,SF,26.0,MIA,36,36,1202,151,352,0.429,117,299,0.3913,34,53,0.6415,42,50,0.84,2,140,142,58,17,8,48,90,461
394,Glenn Robinson III,SF,27.0,SAC,23,2,369,42,99,0.4242,16,44,0.3636,26,55,0.4727,21,23,0.913,11,34,45,20,4,3,11,23,121
395,Jerome Robinson,SG,23.0,WAS,13,3,221,22,67,0.3284,9,31,0.2903,13,36,0.3611,15,17,0.8824,2,31,33,18,6,2,11,21,68
396,Mitchell Robinson,C,22.0,NYK,27,27,778,103,156,0.6603,0,0,0.0,103,156,0.6603,22,46,0.4783,97,129,226,14,32,41,22,78,228
397,Isaiah Roby,PF,22.0,OKC,30,12,640,99,190,0.5211,18,53,0.3396,81,137,0.5912,42,58,0.7241,46,117,163,53,25,17,40,82,258
398,Rajon Rondo,PG,34.0,ATL,20,2,300,29,74,0.3919,13,34,0.3824,16,40,0.4,1,2,0.5,4,40,44,70,12,2,27,18,72
399,Derrick Rose,PG,32.0,TOT,25,3,588,126,293,0.43,23,61,0.377,103,232,0.444,63,74,0.8514,7,48,55,112,29,10,48,29,338
399,Derrick Rose,PG,32.0,DET,15,0,342,79,184,0.4293,13,39,0.3333,66,145,0.4552,42,50,0.84,6,23,29,63,18,4,29,17,213
399,Derrick Rose,PG,32.0,NYK,10,3,246,47,109,0.4312,10,22,0.4545,37,87,0.4253,21,24,0.875,1,25,26,49,11,6,19,12,125
400,Terrence Ross,SG,29.0,ORL,35,2,1032,195,476,0.4097,73,212,0.3443,122,264,0.4621,81,90,0.9,12,110,122,78,39,17,58,64,544
401,Terry Rozier,SG,26.0,CHO,33,33,1106,245,500,0.49,111,253,0.4387,134,247,0.5425,75,91,0.8242,18,109,127,106,46,12,68,65,676
402,Ricky Rubio,PG,30.0,MIN,34,19,863,92,236,0.3898,27,82,0.3293,65,154,0.4221,61,74,0.8243,14,93,107,218,42,0,70,77,272
403,D'Angelo Russell,PG,24.0,MIN,20,19,583,139,326,0.4264,59,148,0.3986,80,178,0.4494,48,64,0.75,9,43,52,101,22,10,54,39,385
404,Domantas Sabonis,PF,24.0,IND,35,35,1278,274,522,0.5249,32,96,0.3333,242,426,0.5681,147,206,0.7136,91,298,389,211,36,21,119,120,727
405,Luka Šamanić,PF,21.0,SAS,9,1,99,15,34,0.4412,8,20,0.4,7,14,0.5,4,8,0.5,6,22,28,1,3,2,6,10,42
406,JaKarr Sampson,PF,27.0,IND,15,0,97,15,32,0.4688,1,5,0.2,14,27,0.5185,8,10,0.8,8,21,29,1,2,3,6,11,39
407,Dario Šarić,C,26.0,PHO,17,0,307,69,143,0.4825,23,61,0.377,46,82,0.561,34,37,0.9189,14,54,68,22,14,3,21,33,195
408,Tomáš Satoranský,SG,29.0,CHI,23,0,476,60,112,0.5357,19,39,0.4872,41,73,0.5616,26,29,0.8966,8,52,60,102,12,4,34,27,165
409,Dennis Schröder,SG,27.0,LAL,33,33,1030,173,393,0.4402,33,104,0.3173,140,289,0.4844,113,136,0.8309,18,97,115,148,30,8,77,88,492
410,Mike Scott,PF,32.0,PHI,17,4,295,26,63,0.4127,19,50,0.38,7,13,0.5385,2,5,0.4,4,43,47,5,8,2,10,17,73
411,Collin Sexton,SG,22.0,CLE,31,31,1127,274,563,0.4867,52,130,0.4,222,433,0.5127,147,183,0.8033,21,60,81,138,36,4,91,88,747
412,Landry Shamet,SG,23.0,BRK,33,0,650,83,216,0.3843,58,162,0.358,25,54,0.463,33,38,0.8684,5,56,61,37,15,5,26,42,257
413,Iman Shumpert,SG,30.0,BRK,2,0,11,1,4,0.25,0,3,0.0,1,1,1.0,0,0,0.0,1,0,1,0,1,0,1,0,2
414,Pascal Siakam,PF,26.0,TOR,30,30,1075,222,490,0.4531,36,122,0.2951,186,368,0.5054,122,149,0.8188,58,166,224,143,35,21,65,93,602
415,Chris Silva,PF,24.0,MIA,6,0,53,6,9,0.6667,1,1,1.0,5,8,0.625,10,12,0.8333,7,11,18,6,1,2,8,14,23
416,Ben Simmons,PG,24.0,PHI,31,31,1051,192,332,0.5783,2,7,0.2857,190,325,0.5846,112,167,0.6707,54,191,245,236,49,22,104,96,498
417,Anfernee Simons,SG,21.0,POR,32,0,543,87,220,0.3955,65,158,0.4114,22,62,0.3548,22,26,0.8462,6,72,78,41,6,5,27,55,261
418,Deividas Sirvydis,SG,20.0,DET,5,0,8,0,3,0.0,0,3,0.0,0,0,0.0,1,2,0.5,0,1,1,1,0,0,0,1,1
419,Marcus Smart,PG,26.0,BOS,17,17,549,74,188,0.3936,28,90,0.3111,46,98,0.4694,46,62,0.7419,7,40,47,103,31,9,30,39,222
420,Dennis Smith Jr.,PG,23.0,TOT,15,7,275,42,109,0.3853,14,44,0.3182,28,65,0.4308,11,14,0.7857,10,30,40,49,18,8,17,23,109
420,Dennis Smith Jr.,PG,23.0,NYK,3,0,28,2,10,0.2,0,4,0.0,2,6,0.3333,5,6,0.8333,0,2,2,3,3,0,1,4,9
420,Dennis Smith Jr.,PG,23.0,DET,12,7,247,40,99,0.404,14,40,0.35,26,59,0.4407,6,8,0.75,10,28,38,46,15,8,16,19,100
421,Ish Smith,PG,32.0,WAS,19,1,391,44,116,0.3793,5,20,0.25,39,96,0.4062,6,15,0.4,10,56,66,90,15,4,19,18,99
422,Jalen Smith,PF,20.0,PHO,11,0,57,7,19,0.3684,2,8,0.25,5,11,0.4545,0,2,0.0,5,6,11,2,0,2,1,4,16
423,Tony Snell,SG,29.0,ATL,23,6,420,41,85,0.4824,35,62,0.5645,6,23,0.2609,0,0,0.0,11,36,47,27,3,7,13,31,117
424,Ray Spalding,C,23.0,HOU,2,0,19,2,4,0.5,0,1,0.0,2,3,0.6667,0,2,0.0,2,2,4,0,0,2,3,3,4
425,Cassius Stanley,SG,21.0,IND,8,0,23,2,7,0.2857,1,2,0.5,1,5,0.2,4,5,0.8,2,1,3,0,0,2,1,7,9
426,Lamar Stevens,PF,23.0,CLE,24,0,346,38,94,0.4043,2,17,0.1176,36,77,0.4675,23,32,0.7188,12,51,63,23,11,8,15,35,101
427,Isaiah Stewart,C,19.0,DET,34,2,626,81,146,0.5548,1,5,0.2,80,141,0.5674,22,32,0.6875,80,116,196,24,18,34,30,88,185
428,Max Strus,SF,24.0,MIA,19,0,283,47,103,0.4563,31,85,0.3647,16,18,0.8889,10,14,0.7143,2,18,20,10,3,0,3,24,135
429,Edmond Sumner,SG,25.0,IND,22,4,251,42,82,0.5122,9,26,0.3462,33,56,0.5893,20,27,0.7407,8,23,31,10,13,2,17,26,113
430,Jae'Sean Tate,SF,25.0,HOU,34,22,933,135,252,0.5357,22,69,0.3188,113,183,0.6175,43,57,0.7544,64,115,179,57,32,18,40,104,335
431,Jayson Tatum,SF,22.0,BOS,31,31,1110,279,638,0.4373,81,220,0.3682,198,418,0.4737,134,156,0.859,18,201,219,138,42,15,79,60,773
432,Jeff Teague,PG,32.0,BOS,28,4,506,59,158,0.3734,19,45,0.4222,40,113,0.354,43,48,0.8958,7,39,46,59,23,5,32,34,180
433,Garrett Temple,SG,34.0,CHI,33,12,936,107,250,0.428,45,131,0.3435,62,119,0.521,31,38,0.8158,20,87,107,68,31,18,33,77,290
434,Tyrell Terry,PG,20.0,DAL,11,0,56,5,16,0.3125,0,7,0.0,5,9,0.5556,1,3,0.3333,0,6,6,6,5,0,2,2,11
435,Daniel Theis,C,28.0,BOS,34,29,827,124,220,0.5636,27,73,0.3699,97,147,0.6599,40,60,0.6667,43,127,170,46,21,38,35,98,315
436,Brodric Thomas,SG,24.0,HOU,4,0,24,2,7,0.2857,1,6,0.1667,1,1,1.0,5,7,0.7143,1,3,4,4,1,1,4,5,10
437,Matt Thomas,SG,26.0,TOR,21,0,145,18,46,0.3913,12,31,0.3871,6,15,0.4,5,6,0.8333,1,13,14,9,2,0,5,8,53
438,Tristan Thompson,PF,29.0,BOS,34,29,774,111,209,0.5311,0,3,0.0,111,206,0.5388,48,76,0.6316,105,178,283,33,12,13,31,72,270
439,Sindarius Thornwell,SG,26.0,NOP,11,1,53,6,13,0.4615,3,6,0.5,3,7,0.4286,0,2,0.0,1,2,3,2,4,0,2,3,15
440,Matisse Thybulle,SG,23.0,PHI,33,2,596,39,106,0.3679,17,65,0.2615,22,41,0.5366,8,14,0.5714,12,36,48,31,46,30,13,66,103
441,Killian Tillie,C,22.0,MEM,2,0,21,1,4,0.25,1,2,0.5,0,2,0.0,0,0,0.0,1,1,2,0,1,0,1,5,3
442,Xavier Tillman Sr.,PF,22.0,MEM,27,7,551,81,158,0.5127,10,35,0.2857,71,123,0.5772,17,23,0.7391,40,85,125,45,25,16,24,64,189
443,Obi Toppin,PF,22.0,NYK,27,0,342,52,107,0.486,13,44,0.2955,39,63,0.619,10,14,0.7143,9,58,67,15,8,10,15,28,127
444,Juan Toscano-Anderson,SG,27.0,GSW,23,13,474,53,94,0.5638,15,35,0.4286,38,59,0.6441,13,18,0.7222,16,87,103,51,13,12,26,48,134
445,Karl-Anthony Towns,C,25.0,MIN,16,16,524,126,255,0.4941,30,80,0.375,96,175,0.5486,70,77,0.9091,48,127,175,63,14,27,51,60,352
446,Gary Trent Jr.,SG,22.0,POR,33,20,1030,183,433,0.4226,101,249,0.4056,82,184,0.4457,35,45,0.7778,19,52,71,49,25,5,24,53,502
447,P.J. Tucker,PF,35.0,HOU,32,32,959,48,131,0.3664,27,86,0.314,21,45,0.4667,18,23,0.7826,33,115,148,45,29,18,33,91,141
448,Myles Turner,C,24.0,IND,33,33,1038,156,322,0.4845,48,153,0.3137,108,169,0.6391,84,108,0.7778,45,171,216,30,34,111,45,117,444
449,Jonas Valančiūnas,C,28.0,MEM,27,26,733,171,317,0.5394,10,28,0.3571,161,289,0.5571,68,90,0.7556,93,213,306,47,16,17,56,83,420
450,Denzel Valentine,SG,27.0,CHI,30,3,591,93,248,0.375,49,141,0.3475,44,107,0.4112,6,6,1.0,12,110,122,54,22,1,18,36,241
451,Jarred Vanderbilt,PF,21.0,MIN,34,17,652,85,139,0.6115,1,2,0.5,84,137,0.6131,35,63,0.5556,62,133,195,52,38,22,35,73,206
452,Fred VanVleet,SG,26.0,TOR,34,34,1249,226,565,0.4,114,298,0.3826,112,267,0.4195,118,132,0.8939,23,128,151,224,58,27,69,83,684
453,Devin Vassell,SF,20.0,SAS,26,1,451,50,126,0.3968,25,63,0.3968,25,63,0.3968,18,21,0.8571,16,67,83,28,29,9,12,32,143
454,Gabe Vincent,PG,24.0,MIA,25,5,375,52,143,0.3636,23,89,0.2584,29,54,0.537,19,21,0.9048,3,24,27,31,12,2,20,46,146
455,Noah Vonleh,PF,25.0,BRK,4,0,11,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,2,0
456,Nikola Vučević,C,30.0,ORL,36,36,1220,355,735,0.483,96,233,0.412,259,502,0.5159,80,94,0.8511,69,348,417,134,36,23,60,62,886
457,Dean Wade,PF,24.0,CLE,28,5,320,33,74,0.4459,22,52,0.4231,11,22,0.5,8,12,0.6667,13,47,60,18,6,5,12,23,96
458,Moritz Wagner,C,23.0,WAS,22,11,315,56,105,0.5333,12,35,0.3429,44,70,0.6286,33,44,0.75,11,55,66,26,16,6,14,50,157
459,Kemba Walker,PG,30.0,BOS,20,20,600,123,317,0.388,59,161,0.3665,64,156,0.4103,64,70,0.9143,8,64,72,91,21,7,44,27,369
460,Lonnie Walker,SG,22.0,SAS,30,27,819,127,316,0.4019,53,148,0.3581,74,168,0.4405,32,40,0.8,6,80,86,53,15,13,32,64,339
461,John Wall,PG,30.0,HOU,25,25,793,188,443,0.4244,51,150,0.34,137,293,0.4676,99,133,0.7444,11,70,81,151,22,18,83,29,526
462,Brad Wanamaker,PG,31.0,GSW,37,0,599,58,162,0.358,13,56,0.2321,45,106,0.4245,49,55,0.8909,8,54,62,99,26,6,35,51,178
463,T.J. Warren,SF,27.0,IND,4,4,117,27,51,0.5294,0,7,0.0,27,44,0.6136,8,10,0.8,2,12,14,5,2,0,4,16,62
464,P.J. Washington,PF,22.0,CHO,31,31,910,137,305,0.4492,42,109,0.3853,95,196,0.4847,70,90,0.7778,45,151,196,90,34,36,65,83,386
465,Yuta Watanabe,SF,26.0,TOR,22,1,268,20,60,0.3333,12,33,0.3636,8,27,0.2963,8,8,1.0,18,53,71,8,9,12,8,23,60
466,Tremont Waters,PG,23.0,BOS,10,1,98,10,31,0.3226,6,15,0.4,4,16,0.25,7,8,0.875,2,6,8,30,6,0,13,6,33
467,Paul Watson,SF,26.0,TOR,16,0,74,10,20,0.5,9,17,0.5294,1,3,0.3333,0,0,0.0,2,12,14,2,0,2,1,9,29
468,Quinndary Weatherspoon,SG,24.0,SAS,5,0,24,1,5,0.2,0,1,0.0,1,4,0.25,2,2,1.0,0,2,2,3,1,0,6,7,4
469,Russell Westbrook,PG,32.0,WAS,27,27,923,211,493,0.428,30,102,0.2941,181,391,0.4629,95,163,0.5828,44,219,263,265,31,9,130,79,547
470,Coby White,PG,20.0,CHI,34,34,1130,201,479,0.4196,81,229,0.3537,120,250,0.48,69,77,0.8961,17,155,172,171,12,5,80,86,552
471,Derrick White,SG,26.0,SAS,8,4,189,34,86,0.3953,15,44,0.3409,19,42,0.4524,11,15,0.7333,1,13,14,31,8,8,7,18,94
472,Hassan Whiteside,C,31.0,SAC,23,1,335,80,138,0.5797,0,1,0.0,80,137,0.5839,30,55,0.5455,36,96,132,11,6,30,24,42,190
473,Greg Whittington,PF,27.0,DEN,2,0,8,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
474,Andrew Wiggins,PF,25.0,GSW,37,37,1193,241,521,0.4626,65,185,0.3514,176,336,0.5238,82,122,0.6721,38,127,165,81,30,40,69,85,629
475,Grant Williams,PF,22.0,BOS,28,6,517,54,115,0.4696,26,60,0.4333,28,55,0.5091,15,29,0.5172,27,54,81,25,13,11,27,79,149
476,Kenrich Williams,PF,26.0,OKC,36,6,681,93,168,0.5536,21,50,0.42,72,118,0.6102,15,24,0.625,48,97,145,59,28,7,33,64,222
477,Lou Williams,PG,34.0,LAC,35,3,794,158,374,0.4225,39,98,0.398,119,276,0.4312,83,96,0.8646,14,67,81,130,30,3,57,34,438
478,Patrick Williams,PF,19.0,CHI,33,33,939,127,268,0.4739,30,77,0.3896,97,191,0.5079,52,66,0.7879,30,129,159,39,24,25,49,75,336
479,Robert Williams,C,23.0,BOS,29,0,468,88,122,0.7213,0,1,0.0,88,121,0.7273,25,39,0.641,66,104,170,31,26,42,28,53,201
480,Zion Williamson,PF,20.0,NOP,34,34,1126,335,546,0.6136,6,19,0.3158,329,527,0.6243,194,279,0.6953,93,152,245,117,32,24,88,82,870
481,D.J. Wilson,PF,24.0,MIL,11,0,99,15,41,0.3659,9,26,0.3462,6,15,0.4,1,2,0.5,3,20,23,3,1,4,4,12,40
482,Dylan Windler,SF,24.0,CLE,22,0,417,47,103,0.4563,23,63,0.3651,24,40,0.6,21,26,0.8077,17,73,90,28,15,10,22,29,138
483,Justise Winslow,SF,24.0,MEM,6,0,134,24,64,0.375,3,15,0.2,21,49,0.4286,6,10,0.6,5,26,31,9,3,4,10,18,57
484,Cassius Winston,PG,22.0,WAS,6,0,44,4,10,0.4,3,7,0.4286,1,3,0.3333,2,2,1.0,0,4,4,6,0,1,1,4,13
485,James Wiseman,C,19.0,GSW,26,17,541,126,247,0.5101,10,27,0.3704,116,220,0.5273,44,70,0.6286,36,118,154,17,9,28,38,84,306
486,Christian Wood,C,25.0,HOU,17,17,530,149,267,0.5581,32,76,0.4211,117,191,0.6126,44,64,0.6875,31,143,174,22,16,26,31,32,374
487,Robert Woodard,SF,21.0,SAC,6,0,17,6,11,0.5455,1,3,0.3333,5,8,0.625,0,2,0.0,3,5,8,0,0,0,1,0,13
488,Delon Wright,SG,28.0,DET,29,24,848,110,235,0.4681,28,73,0.3836,82,162,0.5062,62,79,0.7848,32,101,133,141,42,15,35,32,310
489,Thaddeus Young,PF,32.0,CHI,30,0,760,167,274,0.6095,5,22,0.2273,162,252,0.6429,23,46,0.5,71,105,176,131,42,17,56,81,362
490,Trae Young,PG,22.0,ATL,34,34,1182,262,610,0.4295,85,225,0.3778,177,385,0.4597,288,328,0.878,25,117,142,321,30,8,149,70,897
491,Cody Zeller,C,28.0,CHO,18,15,421,73,142,0.5141,3,19,0.1579,70,123,0.5691,25,33,0.7576,46,90,136,44,11,11,20,47,174
492,Ivica Zubac,C,23.0,LAC,38,1,753,120,182,0.6593,0,1,0.0,120,181,0.663,71,86,0.8256,90,176,266,43,14,30,39,228,311
